t=2026-02-22T21:03:03+0000 lvl=info msg="no configuration paths supplied"
t=2026-02-22T21:03:03+0000 lvl=info msg="using configuration at default config path" path=/root/.config/ngrok/ngrok.yml
t=2026-02-22T21:03:03+0000 lvl=info msg="open config file" path=/root/.config/ngrok/ngrok.yml err=nil
t=2026-02-22T21:03:03+0000 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-02-22T21:03:03+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-02-22T21:03:03+0000 lvl=info msg="client session established" obj=tunnels.session
t=2026-02-22T21:03:03+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-02-22T21:03:03+0000 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8080 url=https://xylotomous-apographic-raphael.ngrok-free.dev
t=2026-02-22T21:04:32+0000 lvl=info msg="join connections" obj=join id=babf035b278d l=127.0.0.1:8080 r=185.130.90.5:45637
t=2026-02-22T21:04:33+0000 lvl=info msg="join connections" obj=join id=f74147eab115 l=127.0.0.1:8080 r=185.130.90.5:45637
t=2026-02-22T21:04:33+0000 lvl=info msg="join connections" obj=join id=32dcd4732a98 l=127.0.0.1:8080 r=185.130.90.5:45637
t=2026-02-22T21:04:34+0000 lvl=info msg="join connections" obj=join id=4767790f3c1f l=127.0.0.1:8080 r=185.130.90.5:45637
t=2026-02-22T21:04:34+0000 lvl=info msg="join connections" obj=join id=aebab00bb4bf l=127.0.0.1:8080 r=185.130.90.5:45637
t=2026-02-22T21:04:34+0000 lvl=info msg="join connections" obj=join id=5bf4f46f27a7 l=127.0.0.1:8080 r=185.130.90.5:45637
t=2026-02-22T21:04:38+0000 lvl=info msg="join connections" obj=join id=b70121e51a98 l=127.0.0.1:8080 r=185.130.90.5:45637
t=2026-02-22T21:04:50+0000 lvl=info msg="join connections" obj=join id=67b47187717a l=127.0.0.1:8080 r=185.130.90.5:45637
t=2026-02-22T21:04:51+0000 lvl=info msg="join connections" obj=join id=315dd3351e2d l=127.0.0.1:8080 r=185.130.90.5:45637
t=2026-02-22T21:04:51+0000 lvl=info msg="join connections" obj=join id=36c04266bac5 l=127.0.0.1:8080 r=185.130.90.5:45637
t=2026-02-22T21:04:51+0000 lvl=info msg="join connections" obj=join id=d70c790336a8 l=127.0.0.1:8080 r=185.130.90.5:45637
t=2026-02-22T21:04:51+0000 lvl=info msg="join connections" obj=join id=13b8b5ba9f85 l=127.0.0.1:8080 r=185.130.90.5:45637
t=2026-02-22T21:04:51+0000 lvl=info msg="join connections" obj=join id=8f353e0f0d44 l=127.0.0.1:8080 r=185.130.90.5:45637
t=2026-02-22T21:04:51+0000 lvl=info msg="join connections" obj=join id=d58bb9421fd8 l=127.0.0.1:8080 r=185.130.90.5:45637
